OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2023-041E","OBJECT E","55985","US","90.25","42.02","398","176","","0","2023-03-24",""
"2023-041D","OBJECT D","55984","US","91.27","41.97","437","237","","0","2023-03-24",""
"2023-041C","OBJECT C","55983","US","93.61","42.02","457","445","","0","2023-03-24",""
"2023-041B","OBJECT B","55982","US","93.64","42.02","458","448","","0","2023-03-24",""
"2023-041A","OBJECT A","55981","US","93.62","42.02","457","446","","0","2023-03-24",""
"2011-037PU","FREGAT DEB","55980","CIS","122.01","50.40","2773","768","SMALL","0","2011-07-18",""
"2023-040B","OBJECT B","55979","CIS","92.90","97.64","494","339","","0","2023-03-23",""
"2023-040A","OBJECT A","55978","CIS","93.65","97.64","499","408","","0","2023-03-23",""
"2023-039D","OBJECT D","55976","PRC","94.78","97.42","515","501","MEDIUM","0","2023-03-22",""
"2023-039C","OBJECT C","55975","PRC","94.80","97.41","516","502","","0","2023-03-22",""
"2023-039B","OBJECT B","55974","PRC","94.81","97.41","517","502","LARGE","0","2023-03-22",""
"2023-039A","OBJECT A","55973","PRC","94.82","97.42","518","502","LARGE","0","2023-03-22",""
"2023-038C","OBJECT C","55972","TBD","347.78","26.92","19704","304","LARGE","0","2023-03-17",""
"2023-038B","SES 19","55971","SES","709.85","15.70","35756","4207","LARGE","0","2023-03-17",""
"2023-038A","SES 18","55970","SES","718.21","15.13","35723","4653","","0","2023-03-17",""
"2023-037BH","FALCON 9 DEB","55969","US","88.88","69.99","247","192","","0","2023-03-17",""
"2023-037BG","FALCON 9 DEB","55968","US","88.84","69.99","242","192","","0","2023-03-17",""
"2023-037BF","FALCON 9 DEB","55967","US","89.01","69.98","253","198","","0","2023-03-17",""
"2023-037BE","FALCON 9 DEB","55966","US","89.08","69.98","262","196","","0","2023-03-17",""
"2023-037BD","STARLINK-5894","55965","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037BC","STARLINK-5895","55964","US","90.69","70.00","316","301","","0","2023-03-17",""
"2023-037BB","STARLINK-5924","55963","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037BA","STARLINK-5906","55962","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AZ","STARLINK-5933","55961","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AY","STARLINK-5938","55960","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AX","STARLINK-5929","55959","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AW","STARLINK-5928","55958","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AV","STARLINK-5884","55957","US","90.69","70.00","315","301","","0","2023-03-17",""
"2023-037AU","STARLINK-5883","55956","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AT","STARLINK-5878","55955","US","90.69","70.00","314","302","","0","2023-03-17",""
"2023-037AS","STARLINK-5892","55954","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037AR","STARLINK-5889","55953","US","90.69","70.00","314","302","","0","2023-03-17",""
"2023-037AQ","STARLINK-5893","55952","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AP","STARLINK-5908","55951","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AN","STARLINK-5911","55950","US","90.69","70.00","314","302","","0","2023-03-17",""
"2023-037AM","STARLINK-5899","55949","US","90.69","70.00","314","302","","0","2023-03-17",""
"2023-037AL","STARLINK-5900","55948","US","90.69","70.00","314","302","","0","2023-03-17",""
"2023-037AK","STARLINK-5851","55947","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AJ","STARLINK-5857","55946","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AH","STARLINK-5925","55945","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AG","STARLINK-5926","55944","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AF","STARLINK-5932","55943","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AE","STARLINK-5917","55942","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AD","STARLINK-5914","55941","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037AC","STARLINK-5864","55940","US","90.69","70.00","315","303","","0","2023-03-17",""
"2023-037AB","STARLINK-5918","55939","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037AA","STARLINK-5909","55938","US","90.70","70.00","314","303","","0","2023-03-17",""
"2023-037Z","STARLINK-5913","55937","US","90.70","70.00","314","303","","0","2023-03-17",""
"2023-037Y","STARLINK-5882","55936","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037X","STARLINK-5920","55935","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037W","STARLINK-5927","55934","US","90.69","70.00","314","303","","0","2023-03-17",""
"2023-037V","STARLINK-5852","55933","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037U","STARLINK-5848","55932","US","90.68","70.00","314","302","","0","2023-03-17",""
"2023-037T","STARLINK-5897","55931","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037S","STARLINK-5896","55930","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037R","STARLINK-5898","55929","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037Q","STARLINK-5930","55928","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037P","STARLINK-5919","55927","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037N","STARLINK-5921","55926","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037M","STARLINK-5922","55925","US","90.70","70.00","315","303","","0","2023-03-17",""
"2023-037L","STARLINK-5849","55924","US","90.70","70.00","315","303","","0","2023-03-17",""
